date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:46	48/48	---MCZ	200	added ('OK')	text/plain	etag:W/%2264057efa-1c%22	https://demos.adminmart.com/robots.txt		(from )
12:49:46	155817/155817	---MCZ	200	added ('OK')	text/html	etag:W/%22260a9-5fe8f086930c5%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index.html	(from )
12:49:47	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%226400977d-d17%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/libs/owl.carousel/dist/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/libs/owl.carousel/dist/assets/owl.carousel.min.css	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:48	783504/783504	---MCZ	200	added ('OK')	text/css	etag:W/%2264919f86-bf490%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/css/style.min.css	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/css/style.min.css	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:48	155817/155817	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-260a9%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index-2.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:48	158327/158327	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-26a77%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index2.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index2.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:49	157751/157751	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-26837%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index3.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index3.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:49	156008/156008	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-26168%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index4.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index4.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:49	164062/164062	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-280de%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index5.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index5.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:50	164413/164413	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2823d%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index6.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/index6.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
